"driver_id","week","transport_type","tenure","deliveries_invoiced","e2e_invoiced","client_price_invoiced","driver_earnings_invoiced","deliveries_not_invoiced","e2e_not_invoiced","distance_to_pu_invoiced","distance_to_do_invoiced","deliveries_succeeded","e2e_succeeded","client_price_succeeded","driver_earnings_succeeded","distance_to_pu_succeeded","distance_to_do_succeeded","performance_deliveries","picking_time","wapu","delivering_time","wado","distance_to_pu","distance_to_do","assigned_hours","online_hours","extra_time","no_laborable_retribuido","no_disponible","assigned_shifts","is_in_area_begin","no_shows","invitations","non_commit","lack_equipment","late_unresponsive","refused_delivery","equipment_failure"
589907,10.0,bike,80,32,72705,188.36,0.0,1,1,45988,54678,27,63508,162.46,0.0,36144,46708,26,19559,10486,21331,11174,35259,44651,30.00,29.77,1.11,0.00,0.00,10,10,0,33,0,,,,
590533,3.0,bike,80,48,77063,247.56999999999996,0.0,5,2545,68520,72507,47,75440,243.21999999999997,0.0,66133,71251,44,25774,6259,24284,13888,62904,65492,30.25,27.37,1.18,0.00,0.00,11,4,1,42,2,,2,,
590533,4.0,bike,80,44,69576,232.90999999999997,0.0,4,4933,68891,71962,43,69008,227.50999999999996,0.0,67903,70139,42,24673,8016,23173,12036,65512,69016,30.00,26.22,0.11,0.00,0.00,10,7,0,44,1,,1,,
590533,5.0,bike,80,40,62502,197.26,0.0,3,707,60265,56270,38,59387,187.66,0.0,55662,53558,37,22708,6352,18784,11851,54500,51855,24.00,23.70,0.24,5.98,0.00,8,5,0,40,1,,,1,
590533,6.0,bike,80,39,69983,201.61999999999998,0.0,2,160,55794,63797,37,66798,191.51999999999998,0.0,54412,60522,37,21667,9868,24023,12155,53475,60521,24.00,23.72,0.71,6.00,0.00,8,7,0,34,0,,,,
590533,7.0,bike,80,40,73205,211.0,0.0,2,605,60631,65946,40,73205,211.0,0.0,60631,65946,37,21737,12540,24336,11638,57435,60685,30.00,28.56,0.31,0.00,0.00,10,8,0,38,0,,,,
590533,8.0,bike,80,43,68272,226.34000000000003,0.0,1,2360,61306,62720,42,66130,221.79000000000002,0.0,59120,61417,42,23759,10553,21385,11514,59187,61735,30.25,29.14,0.60,0.00,0.00,11,8,1,42,1,,1,,
590533,9.0,bike,80,43,71546,222.2,0.0,1,20,64468,67286,41,68166,210.85,0.0,60933,63755,41,21625,10102,25135,12216,60933,63755,30.00,26.53,0.40,0.00,0.00,10,7,1,42,0,,,,
590533,10.0,bike,80,36,60929,190.59,0.0,1,238,51209,54585,33,55646,175.54,0.0,46320,50949,33,20016,7443,19828,9381,47120,50716,24.00,25.61,0.18,6.00,0.00,8,7,0,36,1,,,1,
591459,2.0,motorbike,79,7,11115,50.15,3.5100000000000007,0,0,17879,19851,6,10695,45.099999999999994,3.5100000000000007,16557,18627,5,3331,1147,3513,671,12728,15344,18.00,17.31,0.04,0.00,0.00,6,0,0,7,0,,,,
591459,5.0,motorbike,79,4,6898,33.59,2.9,1,490,7399,15333,4,6898,33.59,2.9,7399,15333,4,1702,1174,3017,1005,7399,15333,30.00,29.36,0.12,0.00,0.00,10,0,0,5,0,,,,
591459,6.0,motorbike,79,4,7174,20.560000000000002,2.1799999999999997,0,0,7816,11540,4,7174,20.560000000000002,2.1799999999999997,7816,11540,4,2911,994,2614,655,7816,11540,30.00,29.20,0.00,0.00,0.00,10,3,0,4,0,,,,
591459,7.0,motorbike,79,7,8786,41.65,2.88,0,0,11251,23574,6,8652,36.25,2.88,9207,15117,4,2657,756,2700,399,7102,11554,27.00,26.65,0.18,6.00,0.00,9,3,0,7,0,,,,
591459,8.0,motorbike,79,9,13796,67.03,6.579999999999999,0,0,16102,34472,9,13796,67.03,6.579999999999999,16102,34472,8,3537,1987,6212,1125,11536,28846,30.00,29.49,0.07,0.00,0.00,10,4,0,9,0,,,,
591459,9.0,motorbike,79,5,8125,25.65,1.67,0,0,9413,8916,5,8125,25.65,1.67,9413,8916,5,3000,1960,2615,550,9413,8916,30.25,29.14,0.13,0.00,0.00,11,3,1,5,0,,,,
591459,10.0,motorbike,79,3,4746,15.149999999999999,0.96,0,0,3143,7195,2,2982,10.1,0.96,935,5087,2,831,296,1214,641,935,5087,30.00,23.15,0.00,0.00,0.00,10,2,2,3,0,,,,
591501,2.0,bike,79,25,41129,131.82,0.0,0,0,31277,31832,24,40296,126.57,0.0,28938,31450,11,3030,3224,3237,3548,9781,12030,18.00,17.38,0.00,0.00,0.00,6,6,0,24,0,,,,
591501,3.0,bike,79,41,73001,249.73,0.0,2,4216,53148,62508,38,67475,235.48000000000002,0.0,45636,58036,23,8144,7670,8536,16255,27112,36504,30.25,29.30,0.50,0.00,0.00,11,7,0,38,1,,,2,
591501,4.0,bike,79,32,62171,183.44000000000003,0.0,0,0,52152,53416,30,60557,171.89000000000001,0.0,49785,48248,18,11650,6814,7444,10442,31384,30033,30.00,29.20,0.09,0.00,0.00,10,9,0,32,0,,,,
591501,5.0,bike,79,31,48973,180.17000000000002,0.0,0,0,36291,49543,31,48973,180.17000000000002,0.0,36291,49543,22,8609,3428,10434,10951,27268,36089,30.00,28.89,0.00,0.00,0.00,10,9,0,29,0,,,,
