"driver_id","delivery_id","zone_name","date","del_cancelation_reason","del_accepted_at","del_canceled_at"
461206,307677737,Madrid,2024-01-21,Late / Unresponsive,2024-01-21 13:06:56.334,2024-01-21 13:27:30.316
461206,308967387,Madrid,2024-02-01,Equipment failure,2024-02-01 22:05:30.066,2024-02-01 22:11:14.238
461206,309357841,Madrid,2024-02-04,Equipment failure,2024-02-04 21:35:35.729,2024-02-04 21:54:04.147
461206,309711401,Madrid,2024-02-08,Equipment failure,2024-02-08 13:02:04.145,2024-02-08 13:08:12.749
461206,309711402,Madrid,2024-02-08,Equipment failure,2024-02-08 13:02:04.145,2024-02-08 13:08:12.761
461206,309711403,Madrid,2024-02-08,Equipment failure,2024-02-08 13:02:04.145,2024-02-08 13:08:12.773
461206,309797282,Madrid,2024-02-08,Refused delivery,2024-02-08 22:27:24.653,2024-02-08 23:06:41.564
461206,310197289,Madrid,2024-02-11,Equipment failure,2024-02-11 21:52:49.934,2024-02-11 21:56:34.855
461206,310521575,Madrid,2024-02-14,Refused delivery,2024-02-14 22:16:12.7,2024-02-14 22:32:56.418
461206,310566441,Madrid,2024-02-15,Equipment failure,2024-02-15 14:44:15.24,2024-02-15 15:18:06.328
461206,310894758,Madrid,2024-02-18,Refused delivery,2024-02-18 13:03:19.072,2024-02-18 13:26:03.589
461206,311275504,Madrid,2024-02-22,Late / Unresponsive,2024-02-22 12:52:58.702,2024-02-22 13:07:57.347
465128,307986761,Madrid,2024-01-24,Late / Unresponsive,2024-01-24 13:02:36.209,2024-01-24 13:20:09.012
465128,307995757,Madrid,2024-01-24,Late / Unresponsive,2024-01-24 14:12:19.602,2024-01-24 14:28:34.104
465128,308790622,Madrid,2024-01-31,Equipment failure,2024-01-31 13:36:29.084,2024-01-31 14:02:07.39
465128,312780570,Madrid,2024-03-07,Late / Unresponsive,2024-03-07 15:14:45.065,2024-03-07 15:29:37.863
465128,313004264,Madrid,2024-03-09,Equipment failure,2024-03-09 15:49:27.3,2024-03-09 15:54:42.703
465133,307644465,Barcelona,2024-01-20,Late / Unresponsive,2024-01-20 21:44:35.588,2024-01-20 21:56:54.004
465779,307512124,Madrid,2024-01-19,Refused delivery,2024-01-19 23:25:52.823,2024-01-19 23:28:08.26
465779,307512644,Madrid,2024-01-19,Refused delivery,2024-01-19 23:28:12.908,2024-01-19 23:30:20.203
465779,309104014,Madrid,2024-02-02,Late / Unresponsive,2024-02-02 22:07:32.531,2024-02-02 22:22:21.271
465779,309104092,Madrid,2024-02-02,Late / Unresponsive,2024-02-02 22:07:32.531,2024-02-02 22:22:21.286
465779,309802687,Madrid,2024-02-08,Refused delivery,2024-02-08 23:24:44.748,2024-02-08 23:25:59.168
465779,309802476,Madrid,2024-02-08,Refused delivery,2024-02-08 23:26:04.882,2024-02-08 23:26:42.004
465779,311610642,Madrid,2024-02-24,Equipment failure,2024-02-24 23:00:42.697,2024-02-24 23:04:23.062
471437,308475297,Barcelona,2024-01-28,Late / Unresponsive,2024-01-28 13:15:06.802,2024-01-28 13:27:12.163
471437,308941454,Barcelona,2024-02-01,Late / Unresponsive,2024-02-01 19:31:06.637,2024-02-01 19:49:38.849
471437,309015408,Barcelona,2024-02-02,Late / Unresponsive,2024-02-02 14:11:48.017,2024-02-02 14:22:23.334
471437,309231975,Barcelona,2024-02-03,Late / Unresponsive,2024-02-03 20:34:31.882,2024-02-03 20:57:06.825
471437,309296025,Barcelona,2024-02-04,Late / Unresponsive,2024-02-04 14:47:51.853,2024-02-04 15:04:54.924
471437,309360538,Barcelona,2024-02-04,Refused delivery,2024-02-04 21:56:32.238,2024-02-04 22:01:11.089
471437,309762734,Barcelona,2024-02-08,Late / Unresponsive,2024-02-08 19:15:42.192,2024-02-08 19:42:13.667
471437,309898968,Barcelona,2024-02-09,Late / Unresponsive,2024-02-09 20:03:04.809,2024-02-09 20:24:32.611
471437,309845271,Barcelona,2024-02-09,Late / Unresponsive,2024-02-09 20:03:04.809,2024-02-09 20:24:32.621
471437,310049469,Barcelona,2024-02-10,Late / Unresponsive,2024-02-10 19:21:41.495,2024-02-10 19:38:42.309
471437,310071431,Barcelona,2024-02-10,Late / Unresponsive,2024-02-10 20:49:01.969,2024-02-10 21:01:53.832
471437,310075508,Barcelona,2024-02-10,Late / Unresponsive,2024-02-10 21:08:01.786,2024-02-10 21:27:37.249
471437,310080139,Barcelona,2024-02-10,Late / Unresponsive,2024-02-10 21:46:21.865,2024-02-10 22:27:54.338
471437,310117552,Barcelona,2024-02-11,Late / Unresponsive,2024-02-11 13:00:02.775,2024-02-11 13:14:31.362
471437,310178980,Barcelona,2024-02-11,Late / Unresponsive,2024-02-11 19:59:03.923,2024-02-11 20:24:17.573
471437,310237683,Barcelona,2024-02-12,Late / Unresponsive,2024-02-12 13:50:06.788,2024-02-12 14:09:32.068
471437,310288840,Barcelona,2024-02-12,Late / Unresponsive,2024-02-12 20:46:26.83,2024-02-12 20:58:11.946
471437,310296304,Barcelona,2024-02-12,Late / Unresponsive,2024-02-12 21:45:07.06,2024-02-12 21:59:38.001
471437,310296737,Barcelona,2024-02-12,Late / Unresponsive,2024-02-12 21:49:46.935,2024-02-12 21:59:38.008
471437,310415990,Barcelona,2024-02-14,Late / Unresponsive,2024-02-14 08:43:50.128,2024-02-14 09:05:22.038
471437,310415993,Barcelona,2024-02-14,Late / Unresponsive,2024-02-14 08:43:50.128,2024-02-14 09:05:22.046
471437,310415994,Barcelona,2024-02-14,Late / Unresponsive,2024-02-14 08:43:50.128,2024-02-14 09:05:22.051
471437,310421004,Barcelona,2024-02-14,Late / Unresponsive,2024-02-14 10:41:20.936,2024-02-14 11:10:30.889
471437,310599441,Barcelona,2024-02-15,Late / Unresponsive,2024-02-15 19:17:32.552,2024-02-15 19:30:48.596
471437,310614906,Barcelona,2024-02-15,Late / Unresponsive,2024-02-15 20:39:12.069,2024-02-15 21:12:45.999
471437,310735971,Barcelona,2024-02-16,Late / Unresponsive,2024-02-16 20:48:54.021,2024-02-16 21:15:29.59
471437,310781770,Barcelona,2024-02-17,Late / Unresponsive,2024-02-17 12:29:34.64,2024-02-17 12:43:31.151
