Timestamp,ID Pedido,Justificado,Como se ha justificado
3/6/2024 13:12:43,309005555,NO,
3/6/2024 13:14:28,306574484,SI,Accidente
3/6/2024 13:15:38,306229065,NO,
3/6/2024 13:16:27,309796041,NO,
3/6/2024 13:16:40,307298217,NO,
3/6/2024 13:18:08,308197100,SI,Mostró una fotografia
3/6/2024 13:18:31,310459765,NO,
3/6/2024 13:21:35,310524018,NO,
3/6/2024 13:22:01,311188292,NO,
3/6/2024 13:22:57,310524017,NO,
3/6/2024 13:25:42,312394170,SI,Calle cortada.
3/6/2024 13:26:14,312397181,SI,Calle cortada.
3/6/2024 13:30:59,312468909,SI,Pinchazo rueda.
3/6/2024 14:11:49,312292198,NO,
3/6/2024 14:13:49,312563545,SI,Fin de turno.
3/6/2024 14:25:25,312100433,SI,Problema con los frenos.
3/6/2024 14:29:16,312042195,NO,
3/6/2024 14:39:35,312374704,NO,
3/6/2024 14:50:33,312237256,SI,Fin de turno.
3/7/2024 13:37:31,312732737,SI,Fallo de equipo.
3/8/2024 13:45:02,312589538,NO,
